slug,name,description,affiliateUrl,factoringType,feeMin,feeMax,minAmount,maxAmount,speedDays,onlineComplete,soleProprietorOk,weekendPayment,features,pros,cons,overallRating,rankPosition,establishedYear,targetIndustries
nihon-planner,日本プランナー,ファクタリング・資金調達サポート。,https://nihon-planner.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,207,2018,建設業|運送業|製造業|IT・Web|サービス業
nikkei-financial,日経フィナンシャルトライ東京,ファクタリング・ファイナンスサービス。東京拠点。,https://nikkei-financial.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,False,False,東京拠点|ファイナンス|法人向け|全国対応|即日対応,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,208,2018,建設業|運送業|製造業|IT・Web|サービス業
ns-partners,NS PARTNERS,ファクタリング・コンサルティングサービス。,https://ns-partners.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,209,2018,建設業|運送業|製造業|IT・Web|サービス業
ntt-finance,NTTファイナンス,NTTグループのファクタリングサービス。安定基盤と低手数料が魅力。,https://www.ntt-finance.co.jp/,3社間,0.5,3,5000000,50000000,5,False,False,False,NTTグループ運営|低手数料|法人向け|大口対応|全国対応,NTTグループの安心感|手数料が非常に安い|大口取引対応,3社間のみ|個人事業主不可|審査に時間がかかる,3.3,210,1985,IT・Web|通信|製造業|サービス業|建設業
oj-factoring,オージェイ,ファクタリング・資金調達サービス。大阪拠点。,https://oj-factoring.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,大阪拠点|関西に強い|即日入金|個人事業主OK|対面相談可,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,211,2018,建設業|運送業|製造業|IT・Web|サービス業
onebank,ワンバンク請求書買取,個人事業主・フリーランス専門の請求書買取サービス。最短60分で即日現金化、決算書不要。,https://www.onebank.co.jp/,2社間,6,15,10000,10000000,1,True,False,False,最短60分入金|決算書不要|面談不要|50業種以上対応|オンライン完結,決算書が不要で手軽|フリーランスに特化したサービス|最短60分のスピード入金,法人向けの大口案件には不向き|手数料の下限がやや高め,3.3,212,2023,IT・Web|広告・メディア|デザイン|映像制作|飲食業
owl-keizai,アウル経済,経済情報＆ファクタリングサービス。中小企業向け。,https://owl-keizai.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,213,2018,建設業|運送業|製造業|IT・Web|サービス業
paypal-biz-loan,PayPay銀行ビジネスローン,PayPay銀行が提供するビジネスローン。ファクタリングではなく融資型の資金調達。,https://www.paypay-bank.co.jp/business/,2社間,1.8,13.8,300000,50000000,3,True,True,False,PayPay銀行運営|最短翌営業日融資|来店不要|法人・個人事業主OK|ビジネスローン,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,214,2000,建設業|運送業|製造業|IT・Web|サービス業
quick-factor,クイックファクター,その名の通りスピード重視のファクタリング。即日対応可能。,https://quickfactor.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金|スピード審査|個人事業主OK|全国対応|オンライン対応,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,215,2018,建設業|運送業|製造業|IT・Web|サービス業
quick-management,クイックマネジメント,最短30分のスピード入金。オンライン完結で全国対応、AIを活用した審査で手続きがスムーズ。,https://qm-factoring.com/,2社間,1,15,300000,50000000,1,True,False,False,最短30分入金|AI審査|オンライン完結|金額制限なし|全国対応,最短30分のスピード入金|AI審査でスムーズ|金額制限がない,2社間ファクタリングのみ|新しい会社で実績が少なめ,3.3,216,2021,IT・Web|建設業|運送業|広告・メディア
regu-pay,レグペイ,ファクタリングサービス。法人向けの資金調達。,https://regu-pay.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,217,2018,建設業|運送業|製造業|IT・Web|サービス業
replan,リプラン,ファクタリングの乗り換え・再プランニングサービス。,https://replan-factoring.jp/,2社間・3社間,2,12,300000,50000000,1,True,True,False,乗り換え対応|手数料改善|無料相談|個人事業主OK|全国対応,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,218,2018,建設業|運送業|製造業|IT・Web|サービス業
resona-ks,りそな決済サービス,りそなグループの決済サービス。ファクタリング・電子記録債権の買取に対応。,https://www.resona-ks.co.jp/,3社間,1,5,5000000,50000000,3,False,False,False,りそなグループ|大手金融機関|法人向け|大口対応|全国対応,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,219,2001,建設業|運送業|製造業|IT・Web|サービス業
rico-lease,リコーリース,リコーグループのリース・ファクタリングサービス。安定基盤の大手。,https://www.r-lease.co.jp/,3社間,1,5,5000000,50000000,5,False,False,False,リコーグループ|東証プライム上場|法人向け|大口対応|全国対応,上場企業グループ|安定した資金力,3社間のみ|個人事業主不可,3.3,220,1976,製造業|IT・Web|サービス業|建設業|卸売業
rise-factoring,Rise,ファクタリング・資金調達サービス。中小企業向け。,https://risefactoring.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,221,2018,建設業|運送業|製造業|IT・Web|サービス業
rising-investment,ライジングインベストメント,投資＆ファクタリングサービス。資金調達をサポート。,https://rising-investment.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,222,2018,建設業|運送業|製造業|IT・Web|サービス業
s-factoring,Sファクタリング,法人・個人事業主対応のファクタリングサービス。柔軟な審査で最短即日の資金調達が可能。,https://s-factoring.jp/,2社間,3,15,100000,30000000,1,True,True,False,柔軟な審査|最短即日入金|オンライン完結|個人事業主OK|全国対応,審査が柔軟で通りやすい|オンラインで完結|即日入金に対応,知名度が低い|手数料の幅が広い,3.3,223,2020,IT・Web|建設業|小売業|サービス業
saison-medical,セゾン診療報酬ファクタリング,セゾンが提供する診療・介護・調剤報酬ファクタリング。,https://www.saisoncard.co.jp/business/factoring/,3社間,0.5,3,300000,50000000,5,True,False,False,セゾングループ|医療機関向け|診療報酬対応|介護報酬対応|調剤報酬対応,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,224,2000,医療・介護
sanctuary,サンクチュアリ,ファクタリングサービス。中小企業の資金繰り改善。,https://sanctuary-factoring.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,225,2018,建設業|運送業|製造業|IT・Web|サービス業
sc-medical,SCメディカル,医療業界向けファクタリング。診療報酬の早期資金化。,https://sc-medical.co.jp/,3社間,1,5,300000,50000000,3,True,False,False,医療業界特化|診療報酬対応|法人向け|全国対応|専門スタッフ,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,226,2018,医療・介護
seino-financial,セイノーフィナンシャル,セイノーグループのファイナンスサービス。物流業界に強い。,https://www.seino-financial.co.jp/,3社間,1,5,300000,50000000,3,True,False,False,セイノーグループ|物流業界に強い|法人向け|大手運営|全国対応,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,227,2000,運送業|物流|製造業
shikin-honpo,資金調達本舗,資金調達の専門サービス。ファクタリングを中心とした資金繰り支援。,https://shikin-honpo.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,228,2018,建設業|運送業|製造業|IT・Web|サービス業
shikin-pay,資金調達ペイ,オンライン完結型のファクタリングサービス。最短即日入金、必要書類が少なくスピーディーな手続き。,https://shikin-pay.com/,2社間,3,15,100000,50000000,1,True,True,False,オンライン完結|最短即日入金|書類が少ない|全国対応|個人事業主OK,オンラインで手軽に利用可能|必要書類が少ない|即日入金に対応,対面相談ができない|知名度がまだ低い,3.3,229,2020,IT・Web|建設業|製造業|小売業
shikin-quick,資金調達QUICK,手数料1%～。最短10分入金、累計申込10万件超のオンラインファクタリング。,https://shikin-quick.com/,2社間,1,15,10000,50000000,1,True,True,False,最短10分入金|手数料1%〜|累計10万件超|オンライン完結|個人事業主OK,最短10分のスピード|手数料が安い|実績豊富,2者間のみ|手数料上限が高い場合も,3.3,230,2020,IT・Web|建設業|小売業|サービス業|飲食業
shikinchotatsu-direct,資金調達ダイレクト,ファクタリングの直接取引サービス。中間マージンなし。,https://shikinchotatsu-direct.jp/,2社間・3社間,2,12,300000,50000000,1,True,True,False,直接取引|中間マージンなし|即日入金|個人事業主OK|全国対応,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,231,2018,建設業|運送業|製造業|IT・Web|サービス業
shinki-corp,シンキコーポレーション,ファクタリングサービス。法人向け資金調達。,https://shinki-corp.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,232,2018,建設業|運送業|製造業|IT・Web|サービス業
shoko-shoji,晶光商事,ファクタリング・金融サービス。中小企業の資金繰り支援。,https://shoko-shoji.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,233,2005,建設業|運送業|製造業|IT・Web|サービス業
shukran,シュクラン,ファクタリング・資金調達サービス。柔軟な対応が特長。,https://shukran-factoring.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,234,2018,建設業|運送業|製造業|IT・Web|サービス業
sig-solution,SIGソリューション,ファクタリング・ソリューションサービス。法人向け。,https://sig-solution.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,235,2018,建設業|運送業|製造業|IT・Web|サービス業
sme-support,SMEサポート,中小企業向けファクタリング・資金調達サポート。,https://sme-support.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,236,2018,建設業|運送業|製造業|IT・Web|サービス業
sms-financial,SMSフィナンシャル,ファイナンシャルサービス。ファクタリング対応。,https://sms-financial.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,237,2018,建設業|運送業|製造業|IT・Web|サービス業
sol-support,SOL support,ファクタリング・資金調達サービス。中小企業をサポート。,https://sol-support.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,238,2018,建設業|運送業|製造業|IT・Web|サービス業
ssk-factoring,SSKファクタリング,SSKホールディングスのファクタリングサービス。,https://ssk-holdings.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,239,2018,建設業|運送業|製造業|IT・Web|サービス業
suga-finance,すがファイナンス,個人事業主から法人まで幅広く対応するファクタリング会社。,https://suga-finance.co.jp/,2社間・3社間,3,18,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,240,2018,建設業|運送業|製造業|IT・Web|サービス業
t-and-s,ティー・アンド・エス,ファクタリング・事業資金の調達をサポート。全国対応。,https://t-and-s.info/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,241,2018,建設業|運送業|製造業|IT・Web|サービス業
techpay,テックペイ,テクノロジーを活用したファクタリングサービス。,https://techpay.jp/,2社間・3社間,2,12,300000,50000000,1,True,True,False,テクノロジー活用|オンライン完結|即日入金|個人事業主OK|全国対応,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,242,2018,建設業|運送業|製造業|IT・Web|サービス業
third-eye,サードアイ,ファクタリング・資金調達コンサルティング。,https://third-eye.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,243,2018,建設業|運送業|製造業|IT・Web|サービス業
tick,ティック,ファクタリングサービス。迅速な対応で中小企業をサポート。,https://tick-factoring.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,244,2018,建設業|運送業|製造業|IT・Web|サービス業
toshin-shoji,東信商事,ファクタリング・商業金融サービス。,https://toshin-shoji.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,245,2018,建設業|運送業|製造業|IT・Web|サービス業
transaction-finance,トランザクションファイナンス,取引金融のプロフェッショナル。ファクタリング対応。,https://transaction-finance.jp/,2社間・3社間,2,10,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,246,2018,建設業|運送業|製造業|IT・Web|サービス業
trapay,トラペイ,オンライン完結型ファクタリング。手数料は業界最安水準、必要書類も少なく初めてでも簡単に利用可能。,https://trapay.jp/,2社間,2,12,100000,50000000,1,True,False,False,オンライン完結|業界最安水準の手数料|必要書類が少ない|全国対応|法人・個人対応,手数料が低く抑えられる|オンラインで全て完結|書類が少なく手軽,対面での相談ができない|知名度がまだ低い,3.3,247,2022,IT・Web|製造業|小売業|サービス業
vistia,VISTIA（ヴィスティア）,東京秋葉原拠点のファクタリング会社。法人向け売掛金買取サービスを提供。,https://vistia-factoring.jp/,2社間・3社間,3,15,100000,50000000,1,True,False,False,即日入金対応|法人向け|柔軟な審査|全国対応|少額対応,柔軟な審査基準|即日入金可能|対面でも相談可,知名度がやや低い|手数料上限がやや高い,3.3,248,2019,建設業|運送業|IT・Web|製造業|サービス業
whatever,ワットエバー,ファクタリングサービス。中小企業の資金繰りをサポート。,https://wtte.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,249,2018,建設業|運送業|製造業|IT・Web|サービス業
witt,ウィット,小口専門のファクタリング会社。500万円以下の少額債権に特化し、電話1本で即日対応。,https://witt-factoring.jp/,2社間,5,20,100000,5000000,1,True,True,False,小口専門500万円以下|電話1本で対応|即日入金|来店不要|個人事業主OK,少額でも気軽に利用できる|電話1本で手続き開始|小回りの利く対応,500万円超の案件は対応不可|手数料がやや高め,3.3,250,2016,小売業|飲食業|サービス業|IT・Web|建設業
yamaki-shoji,山輝商事,ファクタリング・商事金融サービス。,https://yamaki-shoji.co.jp/,2社間・3社間,3,15,300000,50000000,1,True,True,False,即日入金可能|オンライン対応|個人事業主OK|全国対応|柔軟な審査,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,251,2018,建設業|運送業|製造業|IT・Web|サービス業
zaimu-saisei,財務再生支援センター,財務再生＆ファクタリングサービス。経営改善をサポート。,https://zaimu-saisei.com/,2社間・3社間,3,15,300000,50000000,1,True,False,False,財務再生支援|ファクタリング|経営改善|全国対応|コンサルティング,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,252,2018,建設業|運送業|製造業|IT・Web|サービス業
zaimukaikei-shien,財務会計支援機構,ファクタリング・財務コンサルティングサービス。,https://zaimukaikei-shien.or.jp/,2社間・3社間,3,15,300000,50000000,1,True,False,False,財務コンサル|ファクタリング|経営支援|全国対応|法人向け,対応が迅速|審査が柔軟|全国対応,知名度がやや低い|手数料は個別査定,3.3,253,2018,建設業|運送業|製造業|IT・Web|サービス業
zero-factoring,ファクタリングZERO,西日本エリアに強いファクタリング会社。手数料が安く地域密着型。,https://factoring-zero.com/,2社間・3社間,1.5,10,300000,50000000,1,True,True,False,西日本に強い|手数料1.5%〜|最短即日入金|対面相談可|個人事業主OK,西日本エリアに密着した対応|手数料が安い|対面でも相談可能,東日本では対面対応が難しい場合も|大口案件は別途相談,3.3,254,2018,建設業|運送業|製造業|小売業|飲食業
